state_name,total_streets,with_numbers,fraction_with_numbers
Washington,9547,11,0.0011521944066198806
Virginia,3291,1,0.00030385900941962927
Ohio,1688,16,0.009478672985781991
Delaware,1579,4,0.00253324889170361
Michigan,1482,2,0.001349527665317139
Texas,1433,13,0.009071877180739707
Georgia,1392,11,0.007902298850574713
Pennsylvania,1311,10,0.007627765064836003
Colorado,1255,9,0.007171314741035857
California,1189,20,0.01682085786375105
Indiana,1187,12,0.010109519797809604
Kentucky,1161,21,0.01808785529715762
Nevada,1158,310,0.26770293609671847
Illinois,1158,67,0.05785837651122625
Florida,1150,3,0.0026086956521739132
Iowa,1128,6,0.005319148936170213
Oregon,1100,44,0.04
Kansas,1048,3,0.0028625954198473282
Vermont,989,212,0.21435793731041455
Montana,960,20,0.020833333333333332
Maryland,929,2,0.002152852529601722
Alabama,857,33,0.038506417736289385
Missouri,831,3,0.0036101083032490976
Tennessee,720,2,0.002777777777777778
Wisconsin,707,4,0.005657708628005658
Idaho,702,4,0.005698005698005698
Arizona,673,6,0.008915304606240713
New York,645,14,0.021705426356589147
Wyoming,620,11,0.017741935483870968
Utah,609,2,0.003284072249589491
Minnesota,601,8,0.013311148086522463
Louisiana,580,18,0.03103448275862069
Nebraska,570,8,0.014035087719298246
Oklahoma,554,0,0.0
Mississippi,501,32,0.06387225548902195
Arkansas,464,4,0.008620689655172414
Connecticut,362,2,0.0055248618784530384
Massachusetts,314,2,0.006369426751592357
Maine,312,2,0.00641025641025641
Alaska,288,2,0.006944444444444444
Rhode Island,258,2,0.007751937984496124
New Jersey,247,6,0.024291497975708502
West Virginia,199,4,0.020100502512562814
New Hampshire,189,9,0.047619047619047616
Hawaii,184,0,0.0
North Carolina,144,16,0.1111111111111111
New Mexico,114,24,0.21052631578947367
South Carolina,106,4,0.03773584905660377
North Dakota,98,4,0.04081632653061224
South Dakota,93,6,0.06451612903225806
