highway_type,count,percentage
residential,48129,80.02560606564464
tertiary,2708,4.50267699777194
service,1760,2.926407502244688
unclassified,1749,2.9081174553556584
secondary,1643,2.731867912606831
primary,1158,1.925443117954175
track,801,1.3318479598284063
path,697,1.158923880150311
cycleway,365,0.6068970104086994
trunk,353,0.5869442319843038
footway,289,0.4805294137208606
motorway,104,0.1729240796780952
rest_area,101,0.16793588507199628
living_street,50,0.083136576768315
pedestrian,45,0.07482291909148349
construction,42,0.0698347244853846
raceway,42,0.0698347244853846
proposed,36,0.0598583352731868
bridleway,12,0.0199527784243956
platform,10,0.016627315353663
primary_link,9,0.0149645838182967
steps,9,0.0149645838182967
services,7,0.011639120747564098
tertiary_link,6,0.0099763892121978
secondary_link,6,0.0099763892121978
motorway_link,5,0.0083136576768315
trunk_link,2,0.0033254630707325998
busway,1,0.0016627315353662999
planned,1,0.0016627315353662999
trail,1,0.0016627315353662999
bus_stop,1,0.0016627315353662999
