state,total_streets,self_named_streets,other_state_streets,self_pct,other_pct,ego_score
vermont,30041,233,66,0.7756066708831264,0.21969974368363238,3.5303030303030303
hawaii,15977,25,34,0.15647493271577895,0.21280590849345934,0.7352941176470589
alaska,27088,44,93,0.16243354991139988,0.343325457767277,0.4731182795698925
virginia,195841,358,850,0.18280135415975204,0.4340255615524839,0.4211764705882353
washington,181101,292,886,0.16123599538379135,0.4892297668152025,0.3295711060948081
oregon,116671,208,638,0.17827909249085033,0.5468368317748198,0.32601880877742945
delaware,23169,69,219,0.29781173119254173,0.9452285381328499,0.3150684931506849
wisconsin,153155,309,1056,0.20175639058470177,0.6894975678234468,0.29261363636363635
maine,71502,66,227,0.09230511034656373,0.31747363710106014,0.2907488986784141
kentucky,135127,180,638,0.13320801912275118,0.4721484233350848,0.28213166144200624
michigan,209669,384,1411,0.18314581554736276,0.6729654836909604,0.2721474131821403
montana,47461,130,500,0.2739091043172289,1.053496555066265,0.26
idaho,66082,127,489,0.19218546654156957,0.7399897097545474,0.25971370143149286
alabama,153300,187,741,0.12198303979125896,0.4833659491193738,0.252361673414305
georgia,242564,248,1006,0.10224105803004568,0.4147359047509111,0.24652087475149106
iowa,94221,314,1298,0.3332590399167914,1.3776122095923413,0.24191063174114022
nebraska,59208,120,534,0.20267531414673692,0.9019051479529793,0.2247191011235955
kansas,89480,408,1880,0.4559678140366562,2.1010281627179257,0.2170212765957447
wyoming,26574,64,302,0.24083690825619028,1.1364491608338978,0.2119205298013245
utah,85997,42,202,0.0488389129853367,0.2348919148342384,0.2079207920792079
arizona,176011,272,1310,0.15453579605820092,0.7442716648391294,0.20763358778625954
maryland,102286,124,627,0.12122871165164344,0.6129871145611325,0.19776714513556617
texas,560173,660,3392,0.11782074466280953,0.6055272210549241,0.1945754716981132
oklahoma,114452,259,1379,0.22629573969873834,1.204871911368958,0.18781725888324874
ohio,213846,310,1659,0.14496413306772163,0.7757919250301619,0.18685955394816153
minnesota,147980,216,1224,0.14596567103662658,0.8271388025408839,0.17647058823529413
colorado,136123,274,1604,0.20128854051115536,1.178346054671143,0.1708229426433915
mississippi,94730,84,495,0.08867307083289348,0.5225377388366937,0.1696969696969697
tennessee,175279,147,884,0.08386629316689392,0.5043387970036342,0.166289592760181
nevada,69079,60,372,0.08685707668032254,0.5385138754179997,0.16129032258064516
illinois,226578,422,2695,0.18624932694259813,1.1894358675599574,0.15658627087198515
florida,400259,476,3079,0.1189229973592099,0.7692519093886708,0.15459564793764208
california,539052,463,3271,0.08589152809005439,0.6068060224245527,0.14154692754509324
missouri,185155,241,1712,0.13016121627825336,0.9246307148065135,0.14077102803738317
louisiana,114631,144,1068,0.12562046915755773,0.9316851462518865,0.1348314606741573
indiana,160615,305,2318,0.1898950907449491,1.4432026896616132,0.13157894736842105
pennsylvania,280293,255,2053,0.09097622844666117,0.7324478313764525,0.12420847540185095
connecticut,60491,27,255,0.044634739052090394,0.42155031326974257,0.10588235294117647
arkansas,127530,128,1404,0.10036854073551321,1.1009174311926606,0.09116809116809117
massachusetts,136880,62,713,0.04529514903565167,0.5208942139099942,0.08695652173913043
